replicate,b,SAR,w,booster,scenario,inf_vs_sev,vaccine_star,boost_shape,speed,remove,Name,MH,WH,hH,ML,WL,hL,child,adult,old,MH_boost,ML_boost,string_wild,string_delta,string_omicron,string_om2,variant_test,string_om2_duplicate,scale_down,c_LL,c_LH,c_HH,c_HL,Delta_vaccine,Omicron_star_vaccine,Omicron_vaccine,Vaccine,WT_vaccine,Delta_vaccine_Om,Omicron_star_vaccine_Om,Omicron_vaccine_Om,Vaccine_Om,WT_vaccine_Om,boost,WH_boost,WL_boost,nonchild
207,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,14.493500250190898,20.569057138705,0.7636733717943216
207,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,14.493500250190898,20.569057138705,0.7636733717943216
207,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,14.493500250190898,20.569057138705,0.7636733717943216
207,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,13.4177769981703,22.059411202715502,0.7595305675146581
207,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,13.4177769981703,22.059411202715502,0.7595305675146581
207,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,13.4177769981703,22.059411202715502,0.7595305675146581
207,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,9.919654695539801,11.2837924565731,0.7854813101932422
207,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,14.493500250190898,20.569057138705,0.7636733717943216
207,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,13.4177769981703,22.059411202715502,0.7595305675146581
208,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,9.919654695539801,11.2837924565731,0.7854813101932422
208,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,9.919654695539801,11.2837924565731,0.7854813101932422
208,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,9.919654695539801,11.2837924565731,0.7854813101932422
208,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,14.493500250190898,20.569057138705,0.7636733717943216
208,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,14.493500250190898,20.569057138705,0.7636733717943216
208,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,14.493500250190898,20.569057138705,0.7636733717943216
208,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,13.4177769981703,22.059411202715502,0.7595305675146581
208,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,13.4177769981703,22.059411202715502,0.7595305675146581
208,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,13.4177769981703,22.059411202715502,0.7595305675146581
208,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,9.919654695539801,11.2837924565731,0.7854813101932422
208,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,14.493500250190898,20.569057138705,0.7636733717943216
208,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,13.4177769981703,22.059411202715502,0.7595305675146581
209,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,9.919654695539801,11.2837924565731,0.7854813101932422
209,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,9.919654695539801,11.2837924565731,0.7854813101932422
209,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,9.919654695539801,11.2837924565731,0.7854813101932422
209,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,14.493500250190898,20.569057138705,0.7636733717943216
209,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,14.493500250190898,20.569057138705,0.7636733717943216
209,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,14.493500250190898,20.569057138705,0.7636733717943216
209,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,13.4177769981703,22.059411202715502,0.7595305675146581
209,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,13.4177769981703,22.059411202715502,0.7595305675146581
209,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,13.4177769981703,22.059411202715502,0.7595305675146581
209,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,9.919654695539801,11.2837924565731,0.7854813101932422
209,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,14.493500250190898,20.569057138705,0.7636733717943216
209,1,0.5551,0.0033333333333333335,no booster,no booster,0.8,no,no booster,no booster,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,no,13.4177769981703,22.059411202715502,0.7595305675146581
210,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,9.919654695539801,11.2837924565731,0.7854813101932422
210,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,9.919654695539801,11.2837924565731,0.7854813101932422
210,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,Malaysia,0.965403577401509,19.9196546955398,5.50315923468254,0.717096955803438,21.2837924565731,4.97311094255071,10725,33386,5887,0.9,0.91,0.41625,0.50875,0.925,0.925,NA,0.925,0.925,1.5281772017502007,1.0187848011668004,0.8732441152858289,0.5821627435238861,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,9.919654695539801,11.2837924565731,0.7854813101932422
210,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,14.493500250190898,20.569057138705,0.7636733717943216
210,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,14.493500250190898,20.569057138705,0.7636733717943216
210,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,Ecuador,1,24.4935002501909,3.05319100246723,0.787231534337697,30.569057138705,3.86700639481782,11816,31627,6556,0.88,0.87,0.3987,0.35440000000000005,0.7088000000000001,0.7088000000000001,NA,0.7088000000000001,0.886,1.5509835801347855,1.0339890534231904,0.8862763315055917,0.5908508876703946,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,14.493500250190898,20.569057138705,0.7636733717943216
210,1,0.5551,0.0033333333333333335,Bivalent,efficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.27,0.01,0.11,0.48,0.4,0.12,0,0,0.33,0.25,yes,13.4177769981703,22.059411202715502,0.7595305675146581
210,1,0.5551,0.0033333333333333335,Monovalent,WTefficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.44,0.18,0.28,0.65,0.57,yes,13.4177769981703,22.059411202715502,0.7595305675146581
210,1,0.5551,0.0033333333333333335,Monovalent,Omefficacy,0.8,no,functional,fast,no,India,0.927943041516793,23.4177769981703,2.83287657580757,0.783293546759598,32.0594112027155,2.54132118219098,12023,32339,5636,0.35,0.35,0.2215,0.24365000000000003,0.28795000000000004,0.28795000000000004,NA,0.28795000000000004,0.886,2.893415821992863,1.9289438813285753,1.6533804697102077,1.102253646473472,0.54,0.28,0.38,0.75,0.67,0.34,0.08,0.18,0.55,0.47,yes,13.4177769981703,22.059411202715502,0.7595305675146581
